Rule,Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a  hasCanceredFamily  Breast_Famale_1stDegree  ?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Breast_Famale_1stDegree  ?a  smoking  PreviousSmoker  ,?a  gender  Male,0.0248464,0.709924,0.709924,93,131,131,?a
?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  gender  Male,0.0168314,0.777778,0.777778,63,81,81,?a
?a  age  OLDER  ?a  biomarker  KRAS   => ?a  gender  Male,?a  age  OLDER  ?a  biomarker  KRAS  ,?a  gender  Male,0.0384718,0.688995,0.688995,144,209,209,?a
?a  age  OLDER  ?a  biomarker  PDL1   => ?a  gender  Male,?a  age  OLDER  ?a  biomarker  PDL1  ,?a  gender  Male,0.356933,0.680244,0.680244,1336,1964,1964,?a
?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  gender  Male,0.0374032,0.782123,0.782123,140,179,179,?a
?a  hasCanceredFamily  Esophagogastric_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Esophagogastric_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  gender  Male,0.0114881,0.781818,0.781818,43,55,55,?a
?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  gender  Male,0.0120224,0.865385,0.865385,45,52,52,?a
?a  hasCanceredFamily  Colorrectal_Famale_1stDegree  ?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Colorrectal_Famale_1stDegree  ?a  smoking  PreviousSmoker  ,?a  gender  Male,0.0120224,0.803571,0.803571,45,56,56,?a
?a  hasCanceredFamily  Prostate_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Prostate_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  gender  Male,0.0152284,0.838235,0.838235,57,68,68,?a
?a  hasCanceredFamily  Prostate_Male_1stDegree  ?a  smoking  CurrentSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Prostate_Male_1stDegree  ?a  smoking  CurrentSmoker  ,?a  gender  Male,0.0106866,0.677966,0.677966,40,59,59,?a
?a  biomarker  PDL1  ?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  biomarker  PDL1  ?a  smoking  PreviousSmoker  ,?a  gender  Male,0.187016,0.775194,0.775194,700,903,903,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Colorrectal_Famale_1stDegree   => ?a  gender  Male,?a  biomarker  PDL1  ?a  hasCanceredFamily  Colorrectal_Famale_1stDegree  ,?a  gender  Male,0.0125568,0.746032,0.746032,47,63,63,?a
?a  hasCanceredFamily  Breast_Famale_1stDegree  ?a  smoking  CurrentSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Breast_Famale_1stDegree  ?a  smoking  CurrentSmoker  ,?a  gender  Male,0.0224419,0.661417,0.661417,84,127,127,?a
?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ?a  smoking  CurrentSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ?a  smoking  CurrentSmoker  ,?a  gender  Male,0.0101523,0.76,0.76,38,50,50,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Colorrectal_Male_1stDegree   => ?a  gender  Male,?a  biomarker  PDL1  ?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ,?a  gender  Male,0.0195031,0.776596,0.776596,73,94,94,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Prostate_Male_1stDegree   => ?a  gender  Male,?a  biomarker  PDL1  ?a  hasCanceredFamily  Prostate_Male_1stDegree  ,?a  gender  Male,0.0179001,0.712766,0.712766,67,94,94,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Other_Famale_1stDegree   => ?a  gender  Male,?a  biomarker  PDL1  ?a  hasCanceredFamily  Other_Famale_1stDegree  ,?a  gender  Male,0.0109538,0.694915,0.694915,41,59,59,?a
?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  CurrentSmoker   => ?a  gender  Male,?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  CurrentSmoker  ,?a  gender  Male,0.035533,0.734807,0.734807,133,181,181,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Head_and_neck_Male_1stDegree   => ?a  gender  Male,?a  biomarker  PDL1  ?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ,?a  gender  Male,0.0162971,0.782051,0.782051,61,78,78,?a
?a  biomarker  KRAS  ?a  smoking  CurrentSmoker   => ?a  gender  Male,?a  biomarker  KRAS  ?a  smoking  CurrentSmoker  ,?a  gender  Male,0.0221747,0.721739,0.721739,83,115,115,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Other_Male_1stDegree   => ?a  gender  Male,?a  biomarker  PDL1  ?a  hasCanceredFamily  Other_Male_1stDegree  ,?a  gender  Male,0.0128239,0.738462,0.738462,48,65,65,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Lung_Male_1stDegree   => ?a  gender  Male,?a  biomarker  PDL1  ?a  hasCanceredFamily  Lung_Male_1stDegree  ,?a  gender  Male,0.0555704,0.756364,0.756364,208,275,275,?a
?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  NonSmoker   => ?a  gender  Female,?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  NonSmoker  ,?a  gender  Female,0.0149613,0.823529,0.823529,56,68,68,?a
?a  biomarker  ALK  ?a  smoking  NonSmoker   => ?a  gender  Female,?a  biomarker  ALK  ?a  smoking  NonSmoker  ,?a  gender  Female,0.0285867,0.781022,0.781022,107,137,137,?a
?a  biomarker  EGFR  ?a  smoking  NonSmoker   => ?a  gender  Female,?a  biomarker  EGFR  ?a  smoking  NonSmoker  ,?a  gender  Female,0.102324,0.794606,0.794606,383,482,482,?a
?a  age  OLDER  ?a  smoking  NonSmoker   => ?a  gender  Female,?a  age  OLDER  ?a  smoking  NonSmoker  ,?a  gender  Female,0.156559,0.772069,0.772069,586,759,759,?a
?a  age  YOUNGER  ?a  biomarker  ALK   => ?a  gender  Female,?a  age  YOUNGER  ?a  biomarker  ALK  ,?a  gender  Female,0.0170986,0.744186,0.744186,64,86,86,?a
?a  age  OLDER  ?a  biomarker  EGFR   => ?a  gender  Female,?a  age  OLDER  ?a  biomarker  EGFR  ,?a  gender  Female,0.149078,0.635535,0.635535,558,878,878,?a
?a  gender  Female  ?a  hasCanceredFamily  Head_and_neck_Male_1stDegree   => ?a  age  OLDER,?a  gender  Female  ?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ,?a  age  OLDER,0.0136254,0.980769,0.980769,51,52,52,?a
?a  gender  Male  ?a  hasCanceredFamily  Breast_Famale_1stDegree   => ?a  age  OLDER,?a  gender  Male  ?a  hasCanceredFamily  Breast_Famale_1stDegree  ,?a  age  OLDER,0.0515629,0.965,0.965,193,200,200,?a
?a  gender  Female  ?a  hasCanceredFamily  Prostate_Male_1stDegree   => ?a  age  OLDER,?a  gender  Female  ?a  hasCanceredFamily  Prostate_Male_1stDegree  ,?a  age  OLDER,0.0181672,0.971429,0.971429,68,70,70,?a
?a  gender  Male  ?a  hasCanceredFamily  Other_Famale_1stDegree   => ?a  age  OLDER,?a  gender  Male  ?a  hasCanceredFamily  Other_Famale_1stDegree  ,?a  age  OLDER,0.0165643,0.96875,0.96875,62,64,64,?a
?a  gender  Male  ?a  smoking  CurrentSmoker   => ?a  age  OLDER,?a  gender  Male  ?a  smoking  CurrentSmoker  ,?a  age  OLDER,0.216671,0.937572,0.937572,811,865,865,?a
?a  gender  Male  ?a  hasCanceredFamily  Colorrectal_Male_1stDegree   => ?a  age  OLDER,?a  gender  Male  ?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ,?a  age  OLDER,0.0269837,0.95283,0.95283,101,106,106,?a
?a  gender  Male  ?a  hasCanceredFamily  Lung_Male_1stDegree   => ?a  age  OLDER,?a  gender  Male  ?a  hasCanceredFamily  Lung_Male_1stDegree  ,?a  age  OLDER,0.0740048,0.97193,0.97193,277,285,285,?a
?a  gender  Male  ?a  hasCanceredFamily  Other_Male_1stDegree   => ?a  age  OLDER,?a  gender  Male  ?a  hasCanceredFamily  Other_Male_1stDegree  ,?a  age  OLDER,0.0152284,0.95,0.95,57,60,60,?a
?a  gender  Male  ?a  hasCanceredFamily  Lung_Famale_1stDegree   => ?a  age  OLDER,?a  gender  Male  ?a  hasCanceredFamily  Lung_Famale_1stDegree  ,?a  age  OLDER,0.0141598,0.963636,0.963636,53,55,55,?a
?a  biomarker  EGFR  ?a  gender  Female   => ?a  age  OLDER,?a  biomarker  EGFR  ?a  gender  Female  ,?a  age  OLDER,0.149078,0.882911,0.882911,558,632,632,?a
?a  gender  Male  ?a  smoking  PreviousSmoker   => ?a  age  OLDER,?a  gender  Male  ?a  smoking  PreviousSmoker  ,?a  age  OLDER,0.261555,0.953262,0.953262,979,1027,1027,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Colorrectal_Famale_1stDegree   => ?a  age  OLDER,?a  biomarker  PDL1  ?a  hasCanceredFamily  Colorrectal_Famale_1stDegree  ,?a  age  OLDER,0.0162971,0.968254,0.968254,61,63,63,?a
?a  hasCanceredFamily  Breast_Famale_1stDegree  ?a  smoking  PreviousSmoker   => ?a  age  OLDER,?a  hasCanceredFamily  Breast_Famale_1stDegree  ?a  smoking  PreviousSmoker  ,?a  age  OLDER,0.0336628,0.961832,0.961832,126,131,131,?a
?a  biomarker  KRAS  ?a  gender  Male   => ?a  age  OLDER,?a  biomarker  KRAS  ?a  gender  Male  ,?a  age  OLDER,0.0384718,0.986301,0.986301,144,146,146,?a
?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  age  OLDER,?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  age  OLDER,0.0459524,0.960894,0.960894,172,179,179,?a
?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  age  OLDER,?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  age  OLDER,0.0200374,0.925926,0.925926,75,81,81,?a
?a  gender  Male  ?a  hasCanceredFamily  Uterus/cervical_Famale_1stDegree   => ?a  age  OLDER,?a  gender  Male  ?a  hasCanceredFamily  Uterus/cervical_Famale_1stDegree  ,?a  age  OLDER,0.0106866,0.97561,0.97561,40,41,41,?a
?a  biomarker  PDL1  ?a  smoking  PreviousSmoker   => ?a  age  OLDER,?a  biomarker  PDL1  ?a  smoking  PreviousSmoker  ,?a  age  OLDER,0.228159,0.945736,0.945736,854,903,903,?a
?a  biomarker  PDL1  ?a  gender  Male   => ?a  age  OLDER,?a  biomarker  PDL1  ?a  gender  Male  ,?a  age  OLDER,0.356933,0.953605,0.953605,1336,1401,1401,?a
?a  hasCanceredFamily  Lung_Famale_1stDegree  ?a  smoking  PreviousSmoker   => ?a  age  OLDER,?a  hasCanceredFamily  Lung_Famale_1stDegree  ?a  smoking  PreviousSmoker  ,?a  age  OLDER,0.0101523,0.974359,0.974359,38,39,39,?a
?a  hasCanceredFamily  Other_Male_1stDegree  ?a  smoking  CurrentSmoker   => ?a  age  OLDER,?a  hasCanceredFamily  Other_Male_1stDegree  ?a  smoking  CurrentSmoker  ,?a  age  OLDER,0.0114881,0.977273,0.977273,43,44,44,?a
?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ?a  smoking  CurrentSmoker   => ?a  age  OLDER,?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ?a  smoking  CurrentSmoker  ,?a  age  OLDER,0.0112209,0.954545,0.954545,42,44,44,?a
?a  biomarker  PDL1  ?a  smoking  CurrentSmoker   => ?a  age  OLDER,?a  biomarker  PDL1  ?a  smoking  CurrentSmoker  ,?a  age  OLDER,0.248998,0.933868,0.933868,932,998,998,?a
?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ?a  smoking  NonSmoker   => ?a  age  OLDER,?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ?a  smoking  NonSmoker  ,?a  age  OLDER,0.0106866,0.952381,0.952381,40,42,42,?a
?a  biomarker  KRAS  ?a  smoking  CurrentSmoker   => ?a  age  OLDER,?a  biomarker  KRAS  ?a  smoking  CurrentSmoker  ,?a  age  OLDER,0.0301897,0.982609,0.982609,113,115,115,?a
?a  biomarker  EGFR  ?a  hasCanceredFamily  Breast_Famale_1stDegree   => ?a  age  OLDER,?a  biomarker  EGFR  ?a  hasCanceredFamily  Breast_Famale_1stDegree  ,?a  age  OLDER,0.024312,0.968085,0.968085,91,94,94,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Breast_Famale_1stDegree   => ?a  age  OLDER,?a  biomarker  PDL1  ?a  hasCanceredFamily  Breast_Famale_1stDegree  ,?a  age  OLDER,0.0507614,0.95,0.95,190,200,200,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Other_Famale_1stDegree   => ?a  age  OLDER,?a  biomarker  PDL1  ?a  hasCanceredFamily  Other_Famale_1stDegree  ,?a  age  OLDER,0.0146941,0.932203,0.932203,55,59,59,?a
?a  hasCanceredFamily  Prostate_Male_1stDegree  ?a  smoking  NonSmoker   => ?a  age  OLDER,?a  hasCanceredFamily  Prostate_Male_1stDegree  ?a  smoking  NonSmoker  ,?a  age  OLDER,0.0136254,0.962264,0.962264,51,53,53,?a
?a  biomarker  EGFR  ?a  smoking  NonSmoker   => ?a  age  OLDER,?a  biomarker  EGFR  ?a  smoking  NonSmoker  ,?a  age  OLDER,0.113545,0.881743,0.881743,425,482,482,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Lung_Male_1stDegree   => ?a  age  OLDER,?a  biomarker  PDL1  ?a  hasCanceredFamily  Lung_Male_1stDegree  ,?a  age  OLDER,0.0697302,0.949091,0.949091,261,275,275,?a
?a  biomarker  EGFR  ?a  hasCanceredFamily  Colorrectal_Male_1stDegree   => ?a  age  OLDER,?a  biomarker  EGFR  ?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ,?a  age  OLDER,0.0125568,0.903846,0.903846,47,52,52,?a
?a  biomarker  EGFR  ?a  hasCanceredFamily  Prostate_Male_1stDegree   => ?a  age  OLDER,?a  biomarker  EGFR  ?a  hasCanceredFamily  Prostate_Male_1stDegree  ,?a  age  OLDER,0.0154956,0.966667,0.966667,58,60,60,?a
?a  biomarker  PDL1  ?a  hasCanceredFamily  Other_Male_1stDegree   => ?a  age  OLDER,?a  biomarker  PDL1  ?a  hasCanceredFamily  Other_Male_1stDegree  ,?a  age  OLDER,0.0162971,0.938462,0.938462,61,65,65,?a
?a  age  OLDER  ?a  smoking  NonSmoker   => ?a  biomarker  EGFR,?a  age  OLDER  ?a  smoking  NonSmoker  ,?a  biomarker  EGFR,0.113545,0.559947,0.559947,425,759,759,?a
?a  gender  Female  ?a  smoking  NonSmoker   => ?a  biomarker  EGFR,?a  gender  Female  ?a  smoking  NonSmoker  ,?a  biomarker  EGFR,0.102324,0.561584,0.561584,383,682,682,?a
?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  NonSmoker   => ?a  biomarker  EGFR,?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  NonSmoker  ,?a  biomarker  EGFR,0.0104194,0.573529,0.573529,39,68,68,?a
?a  gender  Male  ?a  smoking  CurrentSmoker   => ?a  biomarker  PDL1,?a  gender  Male  ?a  smoking  CurrentSmoker  ,?a  biomarker  PDL1,0.17339,0.750289,0.750289,649,865,865,?a
?a  age  OLDER  ?a  smoking  CurrentSmoker   => ?a  biomarker  PDL1,?a  age  OLDER  ?a  smoking  CurrentSmoker  ,?a  biomarker  PDL1,0.248998,0.749196,0.749196,932,1244,1244,?a
?a  hasCanceredFamily  Breast_Famale_2ndDegree  ?a  smoking  CurrentSmoker   => ?a  biomarker  PDL1,?a  hasCanceredFamily  Breast_Famale_2ndDegree  ?a  smoking  CurrentSmoker  ,?a  biomarker  PDL1,0.0106866,0.8,0.8,40,50,50,?a
?a  hasCanceredFamily  Prostate_Male_1stDegree  ?a  smoking  CurrentSmoker   => ?a  biomarker  PDL1,?a  hasCanceredFamily  Prostate_Male_1stDegree  ?a  smoking  CurrentSmoker  ,?a  biomarker  PDL1,0.0120224,0.762712,0.762712,45,59,59,?a
?a  hasCanceredFamily  Breast_Famale_1stDegree  ?a  smoking  PreviousSmoker   => ?a  biomarker  PDL1,?a  hasCanceredFamily  Breast_Famale_1stDegree  ?a  smoking  PreviousSmoker  ,?a  biomarker  PDL1,0.0221747,0.633588,0.633588,83,131,131,?a
?a  hasCanceredFamily  Esophagogastric_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  biomarker  PDL1,?a  hasCanceredFamily  Esophagogastric_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  biomarker  PDL1,0.0101523,0.690909,0.690909,38,55,55,?a
?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  CurrentSmoker   => ?a  biomarker  PDL1,?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  CurrentSmoker  ,?a  biomarker  PDL1,0.0366017,0.756906,0.756906,137,181,181,?a
?a  age  OLDER  ?a  hasCanceredFamily  Esophagogastric_Male_1stDegree   => ?a  biomarker  PDL1,?a  age  OLDER  ?a  hasCanceredFamily  Esophagogastric_Male_1stDegree  ,?a  biomarker  PDL1,0.0203046,0.622951,0.622951,76,122,122,?a
?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  biomarker  PDL1,?a  hasCanceredFamily  Lung_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  biomarker  PDL1,0.0317927,0.664804,0.664804,119,179,179,?a
?a  age  OLDER  ?a  hasCanceredFamily  Lung_Male_1stDegree   => ?a  biomarker  PDL1,?a  age  OLDER  ?a  hasCanceredFamily  Lung_Male_1stDegree  ,?a  biomarker  PDL1,0.0697302,0.64604,0.64604,261,404,404,?a
?a  age  OLDER  ?a  gender  Male   => ?a  biomarker  PDL1,?a  age  OLDER  ?a  gender  Male  ,?a  biomarker  PDL1,0.356933,0.680591,0.680591,1336,1963,1963,?a
?a  age  OLDER  ?a  smoking  PreviousSmoker   => ?a  biomarker  PDL1,?a  age  OLDER  ?a  smoking  PreviousSmoker  ,?a  biomarker  PDL1,0.228159,0.622449,0.622449,854,1372,1372,?a
?a  gender  Male  ?a  smoking  PreviousSmoker   => ?a  biomarker  PDL1,?a  gender  Male  ?a  smoking  PreviousSmoker  ,?a  biomarker  PDL1,0.187016,0.681597,0.681597,700,1027,1027,?a
?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ?a  smoking  PreviousSmoker   => ?a  biomarker  PDL1,?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ?a  smoking  PreviousSmoker  ,?a  biomarker  PDL1,0.0136254,0.62963,0.62963,51,81,81,?a
?a  age  OLDER  ?a  hasCanceredFamily  Lung_Male_2ndDegree   => ?a  biomarker  PDL1,?a  age  OLDER  ?a  hasCanceredFamily  Lung_Male_2ndDegree  ,?a  biomarker  PDL1,0.0187016,0.603448,0.603448,70,116,116,?a
?a  age  OLDER  ?a  hasCanceredFamily  Other_Famale_1stDegree   => ?a  biomarker  PDL1,?a  age  OLDER  ?a  hasCanceredFamily  Other_Famale_1stDegree  ,?a  biomarker  PDL1,0.0146941,0.585106,0.585106,55,94,94,?a
?a  age  OLDER  ?a  hasCanceredFamily  Other_Male_1stDegree   => ?a  biomarker  PDL1,?a  age  OLDER  ?a  hasCanceredFamily  Other_Male_1stDegree  ,?a  biomarker  PDL1,0.0162971,0.709302,0.709302,61,86,86,?a
?a  gender  Male  ?a  hasCanceredFamily  Other_Male_1stDegree   => ?a  biomarker  PDL1,?a  gender  Male  ?a  hasCanceredFamily  Other_Male_1stDegree  ,?a  biomarker  PDL1,0.0128239,0.8,0.8,48,60,60,?a
?a  gender  Male  ?a  hasCanceredFamily  Lung_Male_1stDegree   => ?a  biomarker  PDL1,?a  gender  Male  ?a  hasCanceredFamily  Lung_Male_1stDegree  ,?a  biomarker  PDL1,0.0555704,0.729825,0.729825,208,285,285,?a
?a  gender  Male  ?a  hasCanceredFamily  Colorrectal_Male_1stDegree   => ?a  biomarker  PDL1,?a  gender  Male  ?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ,?a  biomarker  PDL1,0.0195031,0.688679,0.688679,73,106,106,?a
?a  gender  Male  ?a  hasCanceredFamily  Esophagogastric_Male_1stDegree   => ?a  biomarker  PDL1,?a  gender  Male  ?a  hasCanceredFamily  Esophagogastric_Male_1stDegree  ,?a  biomarker  PDL1,0.0133583,0.714286,0.714286,50,70,70,?a
?a  gender  Male  ?a  hasCanceredFamily  Head_and_neck_Male_1stDegree   => ?a  biomarker  PDL1,?a  gender  Male  ?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ,?a  biomarker  PDL1,0.0162971,0.709302,0.709302,61,86,86,?a
